config,action
[230 225 800 300],2
[235 225 800 300],2
[240 225 800 300],2
[245 225 800 300],2
[250 225 800 300],2
[255 225 800 300],2
[260 225 800 300],2
[265 225 800 300],2
[270 225 800 300],2
[275 225 800 300],2
[280 225 800 300],2
[285 225 800 300],2
[290 225 800 300],2
[295 225 800 300],2
[300 225 800 300],2
[305 225 800 300],2
[310 225 800 300],2
[315 225 800 300],2
[320 225 800 300],3
[320 230 800 300],3
[320 235 800 300],3
[320 240 800 300],3
[320 245 800 300],3
[320 250 800 300],3
[320 255 800 300],3
[320 260 800 300],3
[320 265 800 300],3
[320 270 800 300],3
[320 275 800 300],3
[320 280 800 300],3
[320 285 800 300],3
[320 290 800 300],3
[320 295 800 300],3
[320 300 800 300],3
[320 305 800 300],3
[320 310 800 300],3
[320 315 800 300],3
[320 320 800 300],3
[320 325 800 300],3
[320 330 800 300],3
[320 335 800 300],3
[320 340 800 300],3
[320 345 800 300],3
[320 350 800 300],3
[320 355 800 300],3
[320 360 800 300],3
[320 365 800 300],3
[320 370 800 300],3
[320 375 800 300],3
[320 380 800 300],3
[320 385 800 300],3
[320 390 800 300],3
[320 395 800 300],3
[320 400 800 300],3
[320 405 800 300],3
[320 410 800 300],3
[320 415 800 300],3
[320 420 800 300],2
[325 420 800 300],2
[330 420 800 300],2
[335 420 800 300],2
[340 420 800 300],2
[345 420 800 300],2
[350 420 800 300],2
[355 420 800 300],2
[360 420 800 300],2
[365 420 800 300],2
[370 420 800 300],2
[375 420 800 300],2
[380 420 800 300],2
[385 420 800 300],2
[390 420 800 300],2
[395 420 800 300],2
[400 420 800 300],2
[405 420 800 300],2
[410 420 800 300],2
[415 420 800 300],2
[420 420 800 300],2
[425 420 800 300],2
[430 420 800 300],2
[435 420 800 300],2
[440 420 800 300],2
[445 420 800 300],2
[450 420 800 300],2
[455 420 800 300],2
[460 420 800 300],2
[465 420 800 300],2
[470 420 800 300],2
[475 420 800 300],2
[480 420 800 300],2
[485 420 800 300],2
[490 420 800 300],2
[495 420 800 300],2
[500 420 800 300],2
[505 420 800 300],1
[505 415 800 300],1
[505 410 800 300],1
[505 405 800 300],1
[505 400 800 300],1
[505 395 800 300],1
[505 390 800 300],1
[505 385 800 300],1
[505 380 800 300],1
[505 375 800 300],1
[505 370 800 300],1
[505 365 800 300],1
[505 360 800 300],2
[510 360 800 300],2
[515 360 800 300],2
[520 360 800 300],2
[525 360 800 300],2
[530 360 800 300],2
[535 360 800 300],2
[540 360 800 300],2
[545 360 800 300],2
[550 360 800 300],2
[555 360 800 300],2
[560 360 800 300],2
[565 360 800 300],2
[570 360 800 300],2
[575 360 800 300],2
[580 360 800 300],2
[585 360 800 300],2
[590 360 800 300],2
[595 360 800 300],2
[600 360 800 300],2
[605 360 800 300],2
[610 360 800 300],2
[615 360 800 300],2
[620 360 800 300],2
[625 360 800 300],2
[630 360 800 300],2
[635 360 800 300],2
[640 360 800 300],2
[645 360 800 300],2
[650 360 800 300],2
[655 360 800 300],2
[660 360 800 300],2
[665 360 800 300],2
[670 360 800 300],2
[675 360 800 300],2
[680 360 800 300],2
[685 360 800 300],2
[690 360 800 300],2
[695 360 800 300],2
[700 360 800 300],2
[705 360 800 300],2
[710 360 800 300],2
[715 360 800 300],2
[720 360 800 300],2
[725 360 800 300],2
[730 360 800 300],2
[735 360 800 300],2
[740 360 800 300],2
[745 360 800 300],2
[750 360 800 300],1
[750 355 800 300],1
[750 350 800 300],1
[750 345 800 300],1
[750 340 800 300],1
[750 335 800 300],1
[750 330 800 300],1
[750 325 800 300],1
[750 320 800 300],1
[750 315 800 300],1
[750 310 800 300],1
[750 305 800 300],1
[750 300 800 300],1
[750 295 800 300],2
[755 295 800 300],2
[760 295 800 300],2
[765 295 800 300],2
[770 295 800 300],2
[ 50  50 800 300],2
[ 55  50 800 300],2
[ 60  50 800 300],2
[ 65  50 800 300],2
[ 70  50 800 300],2
